bit,baseline_accuracy,avg_accuracy,acc_drop,time_s
0,0.682,0.494,0.188,0.89
1,0.682,0.494,0.188,0.9
2,0.682,0.494,0.188,0.91
3,0.682,0.494,0.188,0.91
4,0.682,0.494,0.188,0.92
5,0.682,0.494,0.188,0.91
6,0.682,0.494,0.188,0.91
7,0.682,0.494,0.188,0.91
8,0.682,0.494,0.188,0.91
9,0.682,0.494,0.188,0.9
10,0.682,0.494,0.188,0.91
11,0.682,0.494,0.188,0.91
12,0.682,0.494,0.188,0.91
13,0.682,0.494,0.188,0.91
14,0.682,0.494,0.188,0.91
15,0.682,0.494,0.188,0.91
16,0.682,0.492,0.19,0.91
17,0.682,0.488,0.194,0.92
18,0.682,0.486,0.196,0.92
19,0.682,0.48,0.202,0.91
20,0.682,0.482,0.2,0.91
21,0.682,0.476,0.206,0.91
22,0.682,0.45,0.232,0.9
23,0.682,0.374,0.308,0.9
24,0.682,0.248,0.434,0.9
25,0.682,0.394,0.288,0.9
26,0.682,0.076,0.606,0.91
27,0.682,0.076,0.606,0.9
28,0.682,0.076,0.606,0.91
29,0.682,0.076,0.606,0.91
30,0.682,0.496,0.186,0.91
31,0.682,0.076,0.606,0.91
